company,country,director,genre,budget,gross,votes,name,rating,released,runtime,score,star,writer,year
Lorimar Productions,USA,Sidney Lumet,Drama,16000000,3800000,2287,Power,R,1/31/1986,111,5.7,Richard Gere,David Himmelstein,1986
Not specified,USA,Jerry Kramer,Comedy,0,604849,1023,Modern Girls,PG-13,11/7/1986,84,5.9,Daphne Zuniga,Laurie Craig,1986
De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,20000000,22905500,3079,Crimes of the Heart,PG-13,1/23/1987,105,6.4,Diane Keaton,Beth Henley,1986
Cinema VII,USA,John McTiernan,Horror,0,2278264,3006,Nomads,R,3/7/1986,91,5.5,Lesley-Anne Down,John McTiernan,1986
Empire Pictures,USA,Peter Manoogian,Action,0,4601256,1422,Eliminators,PG,1/31/1986,96,4.5,Andrew Prine,Paul De Meo,1986
TMS Pictures,Canada,George Mendeluk,Comedy,0,2147228,2003,Meatballs III: Summer Job,R,1/9/1987,96,3.3,Sally Kellerman,Janis Allen,1986
Golan-Globus Productions,USA,J. Lee Thompson,Action,6000000,9947631,3561,Murphy's Law,R,4/18/1986,100,5.9,Charles Bronson,Gail Morgan Hickman,1986
Edward R. Pressman Film,USA,David Byrne,Musical,0,2545142,3885,True Stories,PG,10/10/1986,90,7,David Byrne,Stephen Tobolowsky,1986
Warner Bros.,USA,Prince,Comedy,0,10090429,2549,Under the Cherry Moon,PG-13,7/2/1986,98,4.9,Prince,Becky Johnston,1986
Delphi V Productions,Israel,Moshé Mizrahi,Drama,0,278623,1834,Every Time We Say Goodbye,PG-13,11/14/1986,95,5.9,Tom Hanks,Moshé Mizrahi,1986
Goldcrest Films International,UK,Julien Temple,Drama,0,930211,2659,Absolute Beginners,PG-13,4/18/1986,108,5.6,Patsy Kensit,Colin MacInnes,1986
Little Bear,USA,Bertrand Tavernier,Drama,0,3272600,4028,'Round Midnight,R,10/3/1986,133,7.4,Dexter Gordon,David Rayfiel,1986
"Cannon Group, The",USA,Sam Firstenberg,Action,4000000,4679650,1808,Avenging Force,R,9/12/1986,104,5.9,Michael Dudikoff,James Booth,1986
Simcom Limited,Canada,Paul Lynch,Action,0,2995527,340,Bullies,R,8/29/1986,96,5.4,Jonathan Crombie,John Sheppard,1986
Compact Yellowbill,UK,John Hough,Adventure,0,112132,2243,Biggles: Adventures in Time,PG,1/29/1988,88,5.8,Neil Dickson,W.E. Johns,1986
Lorimar Productions,USA,Albert Magnoli,Drama,0,4845724,1284,American Anthem,PG-13,6/27/1986,102,4,Mitchell Gaylord,Evan Archerd,1986
Columbia Pictures Corporation,USA,Richard Tuggle,Action,0,5099316,1016,Out of Bounds,R,7/25/1986,93,5.4,Anthony Michael Hall,Tony Kayden,1986
Crown International Pictures,USA,David Beaird,Comedy,0,4781448,1426,My Chauffeur,R,1/24/1986,97,5.6,Deborah Foreman,David Beaird,1986
Rastar Pictures,USA,Gene Saks,Comedy,18000000,11957943,2720,Brighton Beach Memoirs,PG-13,12/25/1986,108,6.9,Blythe Danner,Neil Simon,1986
Ministère de la Culture et de la Communication,France,Éric Rohmer,Drama,0,37455,4612,Summer,R,8/29/1986,98,7.8,Marie Rivière,Marie Rivière,1986
Cannon Group,USA,Paul Nicholas,Drama,0,3136701,327,The Naked Cage,R,3/7/1986,97,5.5,Shari Shattuck,Paul Nicholas,1986
Cannon Screen Entertainment,UK,Richard Franklin,Horror,0,1720450,2080,Link,R,9/19/1986,100,5.9,Terence Stamp,Lee David Zlotoff,1986
Edward R. Pressman Film,UK,Bob Swaim,Thriller,0,1131399,2157,Half Moon Street,R,9/26/1986,90,5.4,Sigourney Weaver,Edward Behr,1986
Aaron Spelling Productions,USA,Tom Moore,Drama,0,441863,1840,"'night, Mother",PG-13,1/29/1987,96,7.6,Sissy Spacek,Marsha Norman,1986
Blake Edwards,USA,Blake Edwards,Action,0,6029824,1164,A Fine Mess,PG,8/8/1986,90,4.5,Ted Danson,Blake Edwards,1986
Chroma III Productions,USA,Mark Griffiths,Comedy,0,78068,895,Hardbodies 2,R,9/12/1986,88,2.9,James Karen,Mark Griffiths,1986
Fons Rademakers Produktie,Netherlands,Fons Rademakers,Drama,0,203781,2694,The Assault,PG,2/6/1986,155,7.3,Derek de Lint,Gerard Soeteman,1986
Griffon Productions,USA,Paul Schneider,Comedy,0,277405,323,Willy/Milly,PG-13,11/14/1986,86,5.7,Pamela Adlon,Alan Friedman,1986
Heron Communications,USA,Janet Greek,Drama,0,239073,154,The Ladies Club,R,1986-04,85,5.3,Karen Austin,Casey Bishop,1986
Delphi V Productions,USA,Stuart Rosenberg,Action,0,140980,978,Let's Get Harry,R,10/31/1986,102,5.2,Michael Schoeffling,Mark Feldberg,1986
De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,25000000,4007250,1340,Tai-Pan,R,11/7/1986,127,5.5,Bryan Brown,John Briley,1986
Scary Stuff,USA,Jeffrey Delman,Comedy,0,2750741,973,Deadtime Stories,R,11/28/1986,93,4.6,Scott Valentine,Jeffrey Delman,1986
Escalante Productions,USA,Dick Richards,Action,17000000,2793214,1358,Heat,R,3/13/1987,101,5.5,Burt Reynolds,William Goldman,1986
Kings Road Entertainment,USA,Robert Mandel,Comedy,0,1254040,684,Touch and Go,R,8/22/1986,101,5.8,Michael Keaton,Alan Ormsby,1986
Canadian Broadcasting Corporation (CBC),Canada,Charles Jarrott,Biography,0,275000,907,The Boy in Blue,R,1/17/1986,100,5.4,Nicolas Cage,Douglas Bowie,1986
Universal Pictures,USA,Alan Alda,Comedy,0,14205021,2300,Sweet Liberty,PG,5/16/1986,106,5.7,Alan Alda,Alan Alda,1986
Marquis,USA,William Fruet,Comedy,0,681337,1265,Killer Party,R,5/9/1986,91,4.7,Martin Hewitt,Barney Cohen,1986
Rondo Productions,USA,Bill Sherwood,Drama,0,537681,2330,Parting Glances,Not specified,2/19/1986,90,7.8,John Bolger,Bill Sherwood,1986
Nelvana,Canada,Dale Schott,Animation,0,8540346,1760,Care Bears Movie II: A New Generation,G,3/21/1986,76,5.3,Maxine Miller,Peter Sauder,1986
Columbia Pictures Corporation,USA,Richard Pryor,Biography,14000000,18034150,1288,"Jo Jo Dancer, Your Life Is Calling",R,5/2/1986,97,6.3,Richard Pryor,Rocco Urbisci,1986
Balcor Film Investors,USA,Andrew Lane,Action,0,1943751,632,Jake Speed,PG,5/30/1986,100,5.3,Wayne Crawford,Wayne Crawford,1986
Cinema Group Ventures,USA,Renny Harlin,Action,3401376,3388020,1509,Born American,R,8/29/1986,97,4.3,Mike Norris,Renny Harlin,1986
Paramount Pictures,USA,Michelle Manning,Action,10000000,6947787,792,Blue City,R,5/2/1986,83,4.4,Judd Nelson,Ross Macdonald,1986
Cascade Films,Australia,Nadia Tass,Comedy,0,544472,1623,Malcolm,PG-13,11/5/1986,90,7.2,Colin Friels,David Parker,1986
Miramax,USA,Bob Weinstein,Comedy,0,2669366,515,Playing for Keeps,PG-13,10/3/1986,102,4.1,Daniel Jordano,Bob Weinstein,1986
Golan-Globus Productions,USA,Andrey Konchalovskiy,Drama,0,8736,699,Duet for One,R,1987-02,107,7,Julie Andrews,Tom Kempinski,1986
Island Pictures,USA,Evelyn Purcell,Comedy,0,563358,652,Nobody's Fool,PG-13,11/7/1986,107,5.5,Rosanna Arquette,Beth Henley,1986
